"CPI Average Price Data, U.S. city average (AP)",,,,,
Original Data Value,,,,,
,,,,,
Series Id:,APU0000703613,,,,
Series Title:,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",,,,
Area:,U.S. city average,,,,
Item:,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)",,,,
Years:,1989 to 2022,,,,
,,,,,
Series ID,Year,Period,Value,,
APU0000703613,2013,M07,6.680,,
APU0000703613,2013,M08,6.604,,
APU0000703613,2013,M09,6.808,,
APU0000703613,2013,M10,6.820,,
APU0000703613,2013,M11,6.803,,
APU0000703613,2013,M12,6.776,,
APU0000703613,2014,M01,6.773,,
APU0000703613,2014,M02,6.966,,
APU0000703613,2014,M03,7.046,,
APU0000703613,2014,M04,7.356,,
APU0000703613,2014,M05,7.588,,
APU0000703613,2014,M06,7.689,,
APU0000703613,2014,M07,7.870,,
APU0000703613,2014,M08,8.250,,
APU0000703613,2014,M09,8.233,,
APU0000703613,2014,M10,8.103,,
APU0000703613,2014,M11,8.277,,
APU0000703613,2014,M12,8.147,,
APU0000703613,2015,M01,8.080,,
APU0000703613,2015,M02,8.194,,
APU0000703613,2015,M03,8.372,,
APU0000703613,2015,M04,8.329,,
APU0000703613,2015,M05,8.816,,
APU0000703613,2015,M06,8.842,,
APU0000703613,2015,M07,8.837,,
APU0000703613,2015,M08,8.697,,
APU0000703613,2015,M09,8.864,,
APU0000703613,2015,M10,8.802,,
APU0000703613,2015,M11,8.724,,
APU0000703613,2015,M12,8.287,,
APU0000703613,2016,M01,8.144,,
APU0000703613,2016,M02,8.275,,
APU0000703613,2016,M03,8.514,,
APU0000703613,2016,M04,8.502,,
APU0000703613,2016,M05,8.678,,
APU0000703613,2016,M06,8.690,,
APU0000703613,2016,M07,8.521,,
APU0000703613,2016,M08,8.544,,
APU0000703613,2016,M09,8.585,,
APU0000703613,2016,M10,8.323,,
APU0000703613,2016,M11,7.943,,
APU0000703613,2016,M12,7.910,,
APU0000703613,2017,M01,7.790,,
APU0000703613,2017,M02,7.848,,
APU0000703613,2017,M03,7.856,,
APU0000703613,2017,M04,8.081,,
APU0000703613,2017,M05,8.082,,
APU0000703613,2017,M06,8.349,,
APU0000703613,2017,M07,8.359,,
APU0000703613,2017,M08,8.251,,
APU0000703613,2017,M09,8.084,,
APU0000703613,2017,M10,8.039,,
APU0000703613,2017,M11,7.906,,
APU0000703613,2017,M12,7.927,,
APU0000703613,2018,M01,8.205,,
APU0000703613,2018,M02,8.297,,
APU0000703613,2018,M03,8.339,,
APU0000703613,2018,M04,8.551,,
APU0000703613,2018,M05,8.247,,
APU0000703613,2018,M06,8.509,,
APU0000703613,2018,M07,8.552,,
APU0000703613,2018,M08,8.561,,
APU0000703613,2018,M09,8.544,,
APU0000703613,2018,M10,8.331,,
APU0000703613,2018,M11,8.375,,
APU0000703613,2018,M12,8.311,,
APU0000703613,2019,M01,8.348,,
APU0000703613,2019,M02,8.529,,
APU0000703613,2019,M03,8.575,,
APU0000703613,2019,M04,8.706,,
APU0000703613,2019,M05,8.662,,
APU0000703613,2019,M06,8.133,,
APU0000703613,2019,M07,8.284,,
APU0000703613,2019,M08,8.134,,
APU0000703613,2019,M09,8.083,,
APU0000703613,2019,M10,8.225,,
APU0000703613,2019,M11,8.318,,
APU0000703613,2019,M12,8.481,,
APU0000703613,2020,M01,8.441,,
APU0000703613,2020,M02,8.333,,
APU0000703613,2020,M03,8.265,,
APU0000703613,2020,M04,8.600,,
APU0000703613,2020,M05,9.480,,
APU0000703613,2020,M06,10.423,,
APU0000703613,2020,M07,9.413,,
APU0000703613,2020,M08,8.875,,
APU0000703613,2020,M09,8.795,,
APU0000703613,2020,M10,8.931,,
APU0000703613,2020,M11,8.876,,
APU0000703613,2020,M12,8.980,,
APU0000703613,2021,M01,9.148,,
APU0000703613,2021,M02,9.079,,
APU0000703613,2021,M03,9.134,,
APU0000703613,2021,M04,9.344,,
APU0000703613,2021,M05,9.892,,
APU0000703613,2021,M06,10.780,,
APU0000703613,2021,M07,10.538,,
APU0000703613,2021,M08,10.599,,
APU0000703613,2021,M09,11.010,,
APU0000703613,2021,M10,11.654,,
APU0000703613,2021,M11,11.508,,
APU0000703613,2021,M12,11.055,,
APU0000703613,2022,M01,10.826,,
APU0000703613,2022,M02,10.584,,
APU0000703613,2022,M03,10.658,,
